main_team,team_group,away_home,competition,n_matches,no_goal,goal_streak_weighted,no_goal_streak_weighted,tot_giornata,goal_streak_weighted_ratio,no_goal_streak_weighted_ratio,no_goal_ratio,goal_ratio
Almeria,0,away,La Liga,4,2,20.0,20.0,40.0,0.5,0.5,0.5,0.5
Almeria,0,home,La Liga,6,3,40.0,65.0,105.0,0.38095238095238093,0.6190476190476191,0.5,0.5
Almeria,1,away,La Liga,6,2,92.0,27.0,119.0,0.773109243697479,0.226890756302521,0.3333333333333333,0.6666666666666667
Almeria,1,home,La Liga,6,1,60.0,5.0,65.0,0.9230769230769231,0.07692307692307693,0.16666666666666666,0.8333333333333334
Almeria,2,away,La Liga,3,1,20.0,4.0,24.0,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.6666666666666667
Almeria,2,home,La Liga,2,1,19.0,14.0,33.0,0.5757575757575758,0.42424242424242425,0.5,0.5
Almeria,all,away,La Liga,13,5,132.0,51.0,183.0,0.7213114754098361,0.2786885245901639,0.38461538461538464,0.6153846153846154
Almeria,all,home,La Liga,14,5,119.0,84.0,203.0,0.5862068965517241,0.41379310344827586,0.35714285714285715,0.6428571428571428
Arsenal,0,away,Premier League,4,1,48.0,20.0,68.0,0.7058823529411765,0.29411764705882354,0.25,0.75
Arsenal,0,home,Premier League,5,1,47.0,19.0,66.0,0.7121212121212122,0.2878787878787879,0.2,0.8
Arsenal,1,away,Premier League,5,5,0.0,67.0,67.0,0.0,1.0,1.0,0.0
Arsenal,1,home,Premier League,5,0,82.0,0.0,82.0,1.0,0.0,0.0,1.0
