main_team,team_group,competition,n_matches,team_has_scored,team_has_conceded_goal,team_has_scored_streak_weighted,team_has_conceded_goal_streak_weighted,tot_giornata,team_has_scored_streak_weighted_ratio,team_has_conceded_goal_streak_weighted_ratio,team_has_conceded_goal_ratio,team_has_scored_ratio
Valladolid,1,La Liga,9,4,8,46.0,115.0,137.0,0.3357664233576642,0.8394160583941606,0.8888888888888888,0.4444444444444444
Valladolid,2,La Liga,8,6,6,94.0,86.0,109.0,0.8623853211009175,0.7889908256880734,0.75,0.75
Valladolid,all,La Liga,29,15,23,252.0,360.0,445.0,0.5662921348314607,0.8089887640449438,0.7931034482758621,0.5172413793103449
Vallecano,0,La Liga,9,6,6,93.0,92.0,137.0,0.6788321167883211,0.6715328467153284,0.6666666666666666,0.6666666666666666
Vallecano,1,La Liga,10,7,7,128.0,128.0,171.0,0.7485380116959064,0.7485380116959064,0.7,0.7
Vallecano,2,La Liga,10,8,7,104.0,105.0,137.0,0.7591240875912408,0.7664233576642335,0.7,0.8
Vallecano,all,La Liga,29,21,20,325.0,325.0,445.0,0.7303370786516854,0.7303370786516854,0.6896551724137931,0.7241379310344828
Verona,0,Serie A,11,4,10,44.0,136.0,166.0,0.26506024096385544,0.8192771084337349,0.9090909090909091,0.36363636363636365
Verona,1,Serie A,11,8,11,116.0,160.0,160.0,0.725,1.0,1.0,0.7272727272727273
Verona,2,Serie A,8,7,4,114.0,56.0,139.0,0.8201438848920863,0.4028776978417266,0.5,0.875
Verona,all,Serie A,30,19,25,274.0,352.0,465.0,0.589247311827957,0.7569892473118279,0.8333333333333334,0.6333333333333333
Villarreal,0,La Liga,10,5,8,101.0,128.0,158.0,0.6392405063291139,0.810126582278481,0.8,0.5
Villarreal,1,La Liga,10,8,6,131.0,108.0,163.0,0.803680981595092,0.6625766871165644,0.6,0.8
Villarreal,2,La Liga,9,7,4,114.0,71.0,124.0,0.9193548387096774,0.5725806451612904,0.4444444444444444,0.7777777777777778
Villarreal,all,La Liga,29,20,18,346.0,307.0,445.0,0.7775280898876404,0.6898876404494382,0.6206896551724138,0.6896551724137931
Werder Bremen,0,Bundesliga,11,8,11,112.0,164.0,164.0,0.6829268292682927,1.0,1.0,0.7272727272727273
Werder Bremen,1,Bundesliga,11,9,11,153.0,169.0,169.0,0.9053254437869822,1.0,1.0,0.8181818181818182
Werder Bremen,2,Bundesliga,6,6,2,73.0,15.0,73.0,1.0,0.2054794520547945,0.3333333333333333,1.0
Werder Bremen,all,Bundesliga,28,23,24,338.0,348.0,406.0,0.8325123152709359,0.8571428571428571,0.8571428571428571,0.8214285714285714
West Ham,0,Premier League,12,7,11,137.0,201.0,205.0,0.6682926829268293,0.9804878048780488,0.9166666666666666,0.5833333333333334
West Ham,1,Premier League,10,7,7,107.0,104.0,157.0,0.6815286624203821,0.6624203821656051,0.7,0.7
West Ham,2,Premier League,8,5,5,105.0,56.0,131.0,0.8015267175572519,0.42748091603053434,0.625,0.625
