main_team,team_group,competition,away_home,n_matches,avg_win,avg_draw,avg_loss,win_streak_weighted,draw_streak_weighted,loss_streak_weighted,tot_giornata,win_streak_weighted_ratio,draw_streak_weighted_ratio,loss_streak_weighted_ratio
Aston Villa,0,Premier League,home,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,15.0,6.0,24.0,45.0,0.3333333333333333,0.13333333333333333,0.5333333333333333
Aston Villa,1,Premier League,away,4,0.25,0.25,0.5,29.0,27.0,15.0,71.0,0.4084507042253521,0.38028169014084506,0.2112676056338028
Aston Villa,1,Premier League,home,6,0.3333333333333333,0.16666666666666666,0.5,39.0,19.0,32.0,90.0,0.43333333333333335,0.2111111111111111,0.35555555555555557
Aston Villa,2,Premier League,away,6,0.5,0.3333333333333333,0.16666666666666666,53.0,19.0,1.0,73.0,0.726027397260274,0.2602739726027397,0.0136986301369863
Aston Villa,2,Premier League,home,6,0.8333333333333334,0.0,0.16666666666666666,89.0,0.0,22.0,111.0,0.8018018018018018,0.0,0.1981981981981982
Aston Villa,all,Premier League,away,15,0.4,0.2,0.4,116.0,46.0,58.0,220.0,0.5272727272727272,0.20909090909090908,0.2636363636363636
Aston Villa,all,Premier League,home,15,0.5333333333333333,0.13333333333333333,0.3333333333333333,143.0,25.0,78.0,246.0,0.5813008130081301,0.1016260162601626,0.3170731707317073
Atalanta,0,Serie A,away,5,0.4,0.2,0.4,29.0,19.0,50.0,98.0,0.29591836734693877,0.19387755102040816,0.5102040816326531
Atalanta,0,Serie A,home,4,0.0,0.25,0.75,0.0,2.0,39.0,41.0,0.0,0.04878048780487805,0.9512195121951219
Atalanta,1,Serie A,away,5,0.6,0.2,0.2,34.0,9.0,21.0,64.0,0.53125,0.140625,0.328125
Atalanta,1,Serie A,home,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,49.0,25.0,29.0,103.0,0.47572815533980584,0.24271844660194175,0.2815533980582524
Atalanta,2,Serie A,away,5,0.6,0.2,0.2,32.0,16.0,14.0,62.0,0.5161290322580645,0.25806451612903225,0.22580645161290322
Atalanta,2,Serie A,home,4,0.5,0.25,0.25,38.0,6.0,23.0,67.0,0.5671641791044776,0.08955223880597014,0.34328358208955223
Atalanta,all,Serie A,away,15,0.5333333333333333,0.2,0.26666666666666666,95.0,44.0,85.0,224.0,0.42410714285714285,0.19642857142857142,0.3794642857142857
Atalanta,all,Serie A,home,14,0.42857142857142855,0.21428571428571427,0.35714285714285715,87.0,33.0,91.0,211.0,0.41232227488151657,0.15639810426540285,0.4312796208530806
Ath Bilbao,0,La Liga,away,4,0.0,0.25,0.75,0.0,15.0,51.0,66.0,0.0,0.22727272727272727,0.7727272727272727
Ath Bilbao,0,La Liga,home,4,0.25,0.0,0.75,12.0,0.0,53.0,65.0,0.18461538461538463,0.0,0.8153846153846154
Ath Bilbao,1,La Liga,away,5,0.2,0.4,0.4,3.0,33.0,32.0,68.0,0.04411764705882353,0.4852941176470588,0.47058823529411764
