main_team,opponent_team,goal_fatti,no_goal,goal,tot_goals,goal_subiti,away_home,result,team_has_scored,giornata,goal_no_goal,team_has_conceded_goal,competition,position,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,team_short_name,team_group
Roma,Cremonese,1,False,True,3,2,away,Loss,True,24.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Torino,Juventus,2,False,True,6,4,away,Loss,True,24.0,Goal,True,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Lazio,Napoli,1,True,False,1,0,away,Win,True,25.0,No Goal,False,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Empoli,Monza,1,False,True,3,2,away,Loss,True,25.0,Goal,True,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Udinese,Atalanta,0,True,False,0,0,away,Draw,False,25.0,No Goal,False,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Milan,Fiorentina,1,False,True,3,2,away,Loss,True,25.0,Goal,True,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Verona,Spezia,0,True,False,0,0,away,Draw,False,25.0,No Goal,False,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Salernitana,Sampdoria,0,True,False,0,0,away,Draw,False,25.0,No Goal,False,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Lecce,Inter,0,True,False,2,2,away,Loss,False,25.0,No Goal,True,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Juventus,Roma,0,True,False,1,1,away,Loss,False,25.0,No Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Cremonese,Sassuolo,2,False,True,5,3,away,Loss,True,25.0,Goal,True,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Bologna,Torino,0,True,False,1,1,away,Loss,False,25.0,No Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Inter,Spezia,1,False,True,3,2,away,Loss,True,26.0,Goal,True,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Udinese,Empoli,1,True,False,1,0,away,Win,True,26.0,No Goal,False,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Atalanta,Napoli,0,True,False,2,2,away,Loss,False,26.0,No Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Lazio,Bologna,0,True,False,0,0,away,Draw,False,26.0,No Goal,False,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Torino,Lecce,2,True,False,2,0,away,Win,True,26.0,No Goal,False,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Fiorentina,Cremonese,2,True,False,2,0,away,Win,True,26.0,No Goal,False,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Monza,Verona,1,False,True,2,1,away,Draw,True,26.0,Goal,True,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Sassuolo,Roma,4,False,True,7,3,away,Win,True,26.0,Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Sampdoria,Juventus,2,False,True,6,4,away,Loss,True,26.0,Goal,True,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Salernitana,Milan,1,False,True,2,1,away,Draw,True,26.0,Goal,True,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Spezia,Sassuolo,0,True,False,1,1,away,Loss,False,27.0,No Goal,True,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Empoli,Atalanta,1,False,True,3,2,away,Loss,True,27.0,Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Cremonese,Monza,1,False,True,2,1,away,Draw,True,27.0,Goal,True,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Bologna,Salernitana,2,False,True,4,2,away,Draw,True,27.0,Goal,True,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Milan,Udinese,1,False,True,4,3,away,Loss,True,27.0,Goal,True,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Verona,Sampdoria,1,False,True,4,3,away,Loss,True,27.0,Goal,True,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Lecce,Fiorentina,0,True,False,1,1,away,Loss,False,27.0,No Goal,True,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Napoli,Torino,4,True,False,4,0,away,Win,True,27.0,No Goal,False,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Roma,Lazio,0,True,False,1,1,away,Loss,False,27.0,No Goal,True,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Juventus,Inter,1,True,False,1,0,away,Win,True,27.0,No Goal,False,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Atalanta,Cremonese,3,False,True,4,1,away,Win,True,28.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Fiorentina,Inter,1,True,False,1,0,away,Win,True,28.0,No Goal,False,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Verona,Juventus,0,True,False,1,1,away,Loss,False,28.0,No Goal,True,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Udinese,Bologna,0,True,False,3,3,away,Loss,False,28.0,No Goal,True,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Lazio,Monza,2,True,False,2,0,away,Win,True,28.0,No Goal,False,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Salernitana,Spezia,1,False,True,2,1,away,Draw,True,28.0,Goal,True,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Sampdoria,Roma,0,True,False,3,3,away,Loss,False,28.0,No Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Milan,Napoli,4,True,False,4,0,away,Win,True,28.0,No Goal,False,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Lecce,Empoli,0,True,False,1,1,away,Loss,False,28.0,No Goal,True,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Torino,Sassuolo,1,False,True,2,1,away,Draw,True,28.0,Goal,True,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Ein Frankfurt,Bayern Munich,1,False,True,7,6,home,Loss,True,1.0,Goal,True,Bundesliga,1,27,"W,W,L,W,W",17,7,3,58,77,29,48,Bayern Munich,0
Augsburg,Freiburg,0,True,False,4,4,home,Loss,False,1.0,No Goal,True,Bundesliga,5,27,"L,D,D,W,D",13,8,6,47,39,36,3,Freiburg,0
Bochum,Mainz,1,False,True,3,2,home,Loss,True,1.0,Goal,True,Bundesliga,8,27,"D,W,D,D,W",11,8,8,41,45,38,7,Mainz,1
M'gladbach,Hoffenheim,3,False,True,4,1,home,Win,True,1.0,Goal,True,Bundesliga,14,27,"W,W,W,L,L",8,4,15,28,37,46,-9,Hoffenheim,1
Union Berlin,Hertha,3,False,True,4,1,home,Win,True,1.0,Goal,True,Bundesliga,17,27,"L,D,L,D,L",5,7,15,22,31,50,-19,Hertha,2
Wolfsburg,Werder Bremen,2,False,True,4,2,home,Draw,True,1.0,Goal,True,Bundesliga,11,27,"D,L,D,L,L",9,5,13,32,42,52,-10,Werder Bremen,1
Dortmund,Leverkusen,1,True,False,1,0,home,Win,True,1.0,No Goal,False,Bundesliga,6,27,"W,W,W,W,W",13,4,10,43,51,41,10,Leverkusen,0
Stuttgart,RB Leipzig,1,False,True,2,1,home,Draw,True,1.0,Goal,True,Bundesliga,4,27,"W,L,L,W,L",14,6,7,48,50,33,17,RB Leipzig,0
FC Koln,Schalke 04,3,False,True,4,1,home,Win,True,1.0,Goal,True,Bundesliga,18,27,"L,L,D,D,W",4,9,14,21,21,50,-29,Schalke 04,2
Freiburg,Dortmund,1,False,True,4,3,home,Loss,True,2.0,Goal,True,Bundesliga,2,27,"W,L,W,D,W",18,2,7,56,59,36,23,Dortmund,0
Hertha,Ein Frankfurt,1,False,True,2,1,home,Draw,True,2.0,Goal,True,Bundesliga,7,27,"L,D,L,D,D",11,8,8,41,48,40,8,Ein Frankfurt,0
Hoffenheim,Bochum,3,False,True,5,2,home,Win,True,2.0,Goal,True,Bundesliga,15,27,"L,D,W,W,L",8,2,17,26,30,60,-30,Bochum,2
Leverkusen,Augsburg,1,False,True,3,2,home,Loss,True,2.0,Goal,True,Bundesliga,13,27,"L,D,D,L,W",8,5,14,29,35,50,-15,Augsburg,1
RB Leipzig,FC Koln,2,False,True,4,2,home,Draw,True,2.0,Goal,True,Bundesliga,12,27,"W,D,L,L,D",7,10,10,31,36,45,-9,FC Koln,1
Werder Bremen,Stuttgart,2,False,True,4,2,home,Draw,True,2.0,Goal,True,Bundesliga,16,27,"W,L,L,D,L",5,8,14,23,32,47,-15,Stuttgart,2
Schalke 04,M'gladbach,2,False,True,4,2,home,Draw,True,2.0,Goal,True,Bundesliga,10,27,"W,D,D,L,D",9,8,10,35,42,44,-2,M'gladbach,1
Mainz,Union Berlin,0,True,False,0,0,home,Draw,False,2.0,No Goal,False,Bundesliga,3,27,"L,W,W,D,D",15,6,6,51,42,30,12,Union Berlin,0
Bayern Munich,Wolfsburg,2,True,False,2,0,home,Win,True,2.0,No Goal,False,Bundesliga,9,27,"L,D,W,D,D",10,9,8,39,46,36,10,Wolfsburg,1
M'gladbach,Hertha,1,True,False,1,0,home,Win,True,3.0,No Goal,False,Bundesliga,17,27,"L,D,L,D,L",5,7,15,22,31,50,-19,Hertha,2
Augsburg,Mainz,1,False,True,3,2,home,Loss,True,3.0,Goal,True,Bundesliga,8,27,"D,W,D,D,W",11,8,8,41,45,38,7,Mainz,1
Dortmund,Werder Bremen,2,False,True,5,3,home,Loss,True,3.0,Goal,True,Bundesliga,11,27,"D,L,D,L,L",9,5,13,32,42,52,-10,Werder Bremen,1
Leverkusen,Hoffenheim,0,True,False,3,3,home,Loss,False,3.0,No Goal,True,Bundesliga,14,27,"W,W,W,L,L",8,4,15,28,37,46,-9,Hoffenheim,1
Stuttgart,Freiburg,0,True,False,1,1,home,Loss,False,3.0,No Goal,True,Bundesliga,5,27,"L,D,D,W,D",13,8,6,47,39,36,3,Freiburg,0
Wolfsburg,Schalke 04,0,True,False,0,0,home,Draw,False,3.0,No Goal,False,Bundesliga,18,27,"L,L,D,D,W",4,9,14,21,21,50,-29,Schalke 04,2
Union Berlin,RB Leipzig,2,False,True,3,1,home,Win,True,3.0,Goal,True,Bundesliga,4,27,"W,L,L,W,L",14,6,7,48,50,33,17,RB Leipzig,0
Ein Frankfurt,FC Koln,1,False,True,2,1,home,Draw,True,3.0,Goal,True,Bundesliga,12,27,"W,D,L,L,D",7,10,10,31,36,45,-9,FC Koln,1
Bochum,Bayern Munich,0,True,False,7,7,home,Loss,False,3.0,No Goal,True,Bundesliga,1,27,"W,W,L,W,W",17,7,3,58,77,29,48,Bayern Munich,0
Freiburg,Bochum,1,True,False,1,0,home,Win,True,4.0,No Goal,False,Bundesliga,15,27,"L,D,W,W,L",8,2,17,26,30,60,-30,Bochum,2
Hertha,Dortmund,0,True,False,1,1,home,Loss,False,4.0,No Goal,True,Bundesliga,2,27,"W,L,W,D,W",18,2,7,56,59,36,23,Dortmund,0
Hoffenheim,Augsburg,1,True,False,1,0,home,Win,True,4.0,No Goal,False,Bundesliga,13,27,"L,D,D,L,W",8,5,14,29,35,50,-15,Augsburg,1
Mainz,Leverkusen,0,True,False,3,3,home,Loss,False,4.0,No Goal,True,Bundesliga,6,27,"W,W,W,W,W",13,4,10,43,51,41,10,Leverkusen,0
RB Leipzig,Wolfsburg,2,True,False,2,0,home,Win,True,4.0,No Goal,False,Bundesliga,9,27,"L,D,W,D,D",10,9,8,39,46,36,10,Wolfsburg,1
Schalke 04,Union Berlin,1,False,True,7,6,home,Loss,True,4.0,Goal,True,Bundesliga,3,27,"L,W,W,D,D",15,6,6,51,42,30,12,Union Berlin,0
Bayern Munich,M'gladbach,1,False,True,2,1,home,Draw,True,4.0,Goal,True,Bundesliga,10,27,"W,D,D,L,D",9,8,10,35,42,44,-2,M'gladbach,1
FC Koln,Stuttgart,0,True,False,0,0,home,Draw,False,4.0,No Goal,False,Bundesliga,16,27,"W,L,L,D,L",5,8,14,23,32,47,-15,Stuttgart,2
Werder Bremen,Ein Frankfurt,3,False,True,7,4,home,Loss,True,4.0,Goal,True,Bundesliga,7,27,"L,D,L,D,D",11,8,8,41,48,40,8,Ein Frankfurt,0
Dortmund,Hoffenheim,1,True,False,1,0,home,Win,True,5.0,No Goal,False,Bundesliga,14,27,"W,W,W,L,L",8,4,15,28,37,46,-9,Hoffenheim,1
Bochum,Werder Bremen,0,True,False,2,2,home,Loss,False,5.0,No Goal,True,Bundesliga,11,27,"D,L,D,L,L",9,5,13,32,42,52,-10,Werder Bremen,1
Leverkusen,Freiburg,2,False,True,5,3,home,Loss,True,5.0,Goal,True,Bundesliga,5,27,"L,D,D,W,D",13,8,6,47,39,36,3,Freiburg,0
Stuttgart,Schalke 04,1,False,True,2,1,home,Draw,True,5.0,Goal,True,Bundesliga,18,27,"L,L,D,D,W",4,9,14,21,21,50,-29,Schalke 04,2
Union Berlin,Bayern Munich,1,False,True,2,1,home,Draw,True,5.0,Goal,True,Bundesliga,1,27,"W,W,L,W,W",17,7,3,58,77,29,48,Bayern Munich,0
Wolfsburg,FC Koln,2,False,True,6,4,home,Loss,True,5.0,Goal,True,Bundesliga,12,27,"W,D,L,L,D",7,10,10,31,36,45,-9,FC Koln,1
Ein Frankfurt,RB Leipzig,4,True,False,4,0,home,Win,True,5.0,No Goal,False,Bundesliga,4,27,"W,L,L,W,L",14,6,7,48,50,33,17,RB Leipzig,0
Augsburg,Hertha,0,True,False,2,2,home,Loss,False,5.0,No Goal,True,Bundesliga,17,27,"L,D,L,D,L",5,7,15,22,31,50,-19,Hertha,2
M'gladbach,Mainz,0,True,False,1,1,home,Loss,False,5.0,No Goal,True,Bundesliga,8,27,"D,W,D,D,W",11,8,8,41,45,38,7,Mainz,1
Werder Bremen,Augsburg,0,True,False,1,1,home,Loss,False,6.0,No Goal,True,Bundesliga,13,27,"L,D,D,L,W",8,5,14,29,35,50,-15,Augsburg,1
Bayern Munich,Stuttgart,2,False,True,4,2,home,Draw,True,6.0,Goal,True,Bundesliga,16,27,"W,L,L,D,L",5,8,14,23,32,47,-15,Stuttgart,2
Ein Frankfurt,Wolfsburg,0,True,False,1,1,home,Loss,False,6.0,No Goal,True,Bundesliga,9,27,"L,D,W,D,D",10,9,8,39,46,36,10,Wolfsburg,1
Hertha,Leverkusen,2,False,True,4,2,home,Draw,True,6.0,Goal,True,Bundesliga,6,27,"W,W,W,W,W",13,4,10,43,51,41,10,Leverkusen,0
Hoffenheim,Mainz,4,False,True,5,1,home,Win,True,6.0,Goal,True,Bundesliga,8,27,"D,W,D,D,W",11,8,8,41,45,38,7,Mainz,1
RB Leipzig,Dortmund,3,True,False,3,0,home,Win,True,6.0,No Goal,False,Bundesliga,2,27,"W,L,W,D,W",18,2,7,56,59,36,23,Dortmund,0
Schalke 04,Bochum,3,False,True,4,1,home,Win,True,6.0,Goal,True,Bundesliga,15,27,"L,D,W,W,L",8,2,17,26,30,60,-30,Bochum,2
FC Koln,Union Berlin,0,True,False,1,1,home,Loss,False,6.0,No Goal,True,Bundesliga,3,27,"L,W,W,D,D",15,6,6,51,42,30,12,Union Berlin,0
Freiburg,M'gladbach,0,True,False,0,0,home,Draw,False,6.0,No Goal,False,Bundesliga,10,27,"W,D,D,L,D",9,8,10,35,42,44,-2,M'gladbach,1
Mainz,Hertha,1,False,True,2,1,home,Draw,True,7.0,Goal,True,Bundesliga,17,27,"L,D,L,D,L",5,7,15,22,31,50,-19,Hertha,2
Augsburg,Bayern Munich,1,True,False,1,0,home,Win,True,7.0,No Goal,False,Bundesliga,1,27,"W,W,L,W,W",17,7,3,58,77,29,48,Bayern Munich,0
Dortmund,Schalke 04,1,True,False,1,0,home,Win,True,7.0,No Goal,False,Bundesliga,18,27,"L,L,D,D,W",4,9,14,21,21,50,-29,Schalke 04,2
Leverkusen,Werder Bremen,1,False,True,2,1,home,Draw,True,7.0,Goal,True,Bundesliga,11,27,"D,L,D,L,L",9,5,13,32,42,52,-10,Werder Bremen,1
Stuttgart,Ein Frankfurt,1,False,True,4,3,home,Loss,True,7.0,Goal,True,Bundesliga,7,27,"L,D,L,D,D",11,8,8,41,48,40,8,Ein Frankfurt,0
M'gladbach,RB Leipzig,3,True,False,3,0,home,Win,True,7.0,No Goal,False,Bundesliga,4,27,"W,L,L,W,L",14,6,7,48,50,33,17,RB Leipzig,0
Union Berlin,Wolfsburg,2,True,False,2,0,home,Win,True,7.0,No Goal,False,Bundesliga,9,27,"L,D,W,D,D",10,9,8,39,46,36,10,Wolfsburg,1
Bochum,FC Koln,1,False,True,2,1,home,Draw,True,7.0,Goal,True,Bundesliga,12,27,"W,D,L,L,D",7,10,10,31,36,45,-9,FC Koln,1
Hoffenheim,Freiburg,0,True,False,0,0,home,Draw,False,7.0,No Goal,False,Bundesliga,5,27,"L,D,D,W,D",13,8,6,47,39,36,3,Freiburg,0
Bayern Munich,Leverkusen,4,True,False,4,0,home,Win,True,8.0,No Goal,False,Bundesliga,6,27,"W,W,W,W,W",13,4,10,43,51,41,10,Leverkusen,0
Ein Frankfurt,Union Berlin,2,True,False,2,0,home,Win,True,8.0,No Goal,False,Bundesliga,3,27,"L,W,W,D,D",15,6,6,51,42,30,12,Union Berlin,0
FC Koln,Dortmund,3,False,True,5,2,home,Win,True,8.0,Goal,True,Bundesliga,2,27,"W,L,W,D,W",18,2,7,56,59,36,23,Dortmund,0
Freiburg,Mainz,2,False,True,3,1,home,Win,True,8.0,Goal,True,Bundesliga,8,27,"D,W,D,D,W",11,8,8,41,45,38,7,Mainz,1
RB Leipzig,Bochum,4,True,False,4,0,home,Win,True,8.0,No Goal,False,Bundesliga,15,27,"L,D,W,W,L",8,2,17,26,30,60,-30,Bochum,2
Wolfsburg,Stuttgart,3,False,True,5,2,home,Win,True,8.0,Goal,True,Bundesliga,16,27,"W,L,L,D,L",5,8,14,23,32,47,-15,Stuttgart,2
Werder Bremen,M'gladbach,5,False,True,6,1,home,Win,True,8.0,Goal,True,Bundesliga,10,27,"W,D,D,L,D",9,8,10,35,42,44,-2,M'gladbach,1
Hertha,Hoffenheim,1,False,True,2,1,home,Draw,True,8.0,Goal,True,Bundesliga,14,27,"W,W,W,L,L",8,4,15,28,37,46,-9,Hoffenheim,1
Schalke 04,Augsburg,2,False,True,5,3,home,Loss,True,8.0,Goal,True,Bundesliga,13,27,"L,D,D,L,W",8,5,14,29,35,50,-15,Augsburg,1
Hoffenheim,Werder Bremen,1,False,True,3,2,home,Loss,True,9.0,Goal,True,Bundesliga,11,27,"D,L,D,L,L",9,5,13,32,42,52,-10,Werder Bremen,1
Augsburg,Wolfsburg,1,False,True,2,1,home,Draw,True,9.0,Goal,True,Bundesliga,9,27,"L,D,W,D,D",10,9,8,39,46,36,10,Wolfsburg,1
Bochum,Ein Frankfurt,3,True,False,3,0,home,Win,True,9.0,No Goal,False,Bundesliga,7,27,"L,D,L,D,D",11,8,8,41,48,40,8,Ein Frankfurt,0
Leverkusen,Schalke 04,4,True,False,4,0,home,Win,True,9.0,No Goal,False,Bundesliga,18,27,"L,L,D,D,W",4,9,14,21,21,50,-29,Schalke 04,2
Mainz,RB Leipzig,1,False,True,2,1,home,Draw,True,9.0,Goal,True,Bundesliga,4,27,"W,L,L,W,L",14,6,7,48,50,33,17,RB Leipzig,0
Dortmund,Bayern Munich,2,False,True,4,2,home,Draw,True,9.0,Goal,True,Bundesliga,1,27,"W,W,L,W,W",17,7,3,58,77,29,48,Bayern Munich,0
M'gladbach,FC Koln,5,False,True,7,2,home,Win,True,9.0,Goal,True,Bundesliga,12,27,"W,D,L,L,D",7,10,10,31,36,45,-9,FC Koln,1
Hertha,Freiburg,2,False,True,4,2,home,Draw,True,9.0,Goal,True,Bundesliga,5,27,"L,D,D,W,D",13,8,6,47,39,36,3,Freiburg,0
Stuttgart,Union Berlin,0,True,False,1,1,home,Loss,False,9.0,No Goal,True,Bundesliga,3,27,"L,W,W,D,D",15,6,6,51,42,30,12,Union Berlin,0
Schalke 04,Hoffenheim,0,True,False,3,3,home,Loss,False,10.0,No Goal,True,Bundesliga,14,27,"W,W,W,L,L",8,4,15,28,37,46,-9,Hoffenheim,1
Ein Frankfurt,Leverkusen,5,False,True,6,1,home,Win,True,10.0,Goal,True,Bundesliga,6,27,"W,W,W,W,W",13,4,10,43,51,41,10,Leverkusen,0
Stuttgart,Bochum,4,False,True,5,1,home,Win,True,10.0,Goal,True,Bundesliga,15,27,"L,D,W,W,L",8,2,17,26,30,60,-30,Bochum,2
Werder Bremen,Mainz,0,True,False,2,2,home,Loss,False,10.0,No Goal,True,Bundesliga,8,27,"D,W,D,D,W",11,8,8,41,45,38,7,Mainz,1
Wolfsburg,M'gladbach,2,False,True,4,2,home,Draw,True,10.0,Goal,True,Bundesliga,10,27,"W,D,D,L,D",9,8,10,35,42,44,-2,M'gladbach,1
RB Leipzig,Hertha,3,False,True,5,2,home,Win,True,10.0,Goal,True,Bundesliga,17,27,"L,D,L,D,L",5,7,15,22,31,50,-19,Hertha,2
FC Koln,Augsburg,3,False,True,5,2,home,Win,True,10.0,Goal,True,Bundesliga,13,27,"L,D,D,L,W",8,5,14,29,35,50,-15,Augsburg,1
Union Berlin,Dortmund,2,True,False,2,0,home,Win,True,10.0,No Goal,False,Bundesliga,2,27,"W,L,W,D,W",18,2,7,56,59,36,23,Dortmund,0
Bayern Munich,Freiburg,5,True,False,5,0,home,Win,True,10.0,No Goal,False,Bundesliga,5,27,"L,D,D,W,D",13,8,6,47,39,36,3,Freiburg,0
Mainz,FC Koln,5,True,False,5,0,home,Win,True,11.0,No Goal,False,Bundesliga,12,27,"W,D,L,L,D",7,10,10,31,36,45,-9,FC Koln,1
Augsburg,RB Leipzig,3,False,True,6,3,home,Draw,True,11.0,Goal,True,Bundesliga,4,27,"W,L,L,W,L",14,6,7,48,50,33,17,RB Leipzig,0
Dortmund,Stuttgart,5,True,False,5,0,home,Win,True,11.0,No Goal,False,Bundesliga,16,27,"W,L,L,D,L",5,8,14,23,32,47,-15,Stuttgart,2
Freiburg,Werder Bremen,2,True,False,2,0,home,Win,True,11.0,No Goal,False,Bundesliga,11,27,"D,L,D,L,L",9,5,13,32,42,52,-10,Werder Bremen,1
Hoffenheim,Bayern Munich,0,True,False,2,2,home,Loss,False,11.0,No Goal,True,Bundesliga,1,27,"W,W,L,W,W",17,7,3,58,77,29,48,Bayern Munich,0
Leverkusen,Wolfsburg,2,False,True,4,2,home,Draw,True,11.0,Goal,True,Bundesliga,9,27,"L,D,W,D,D",10,9,8,39,46,36,10,Wolfsburg,1
M'gladbach,Ein Frankfurt,1,False,True,4,3,home,Loss,True,11.0,Goal,True,Bundesliga,7,27,"L,D,L,D,D",11,8,8,41,48,40,8,Ein Frankfurt,0
Bochum,Union Berlin,2,False,True,3,1,home,Win,True,11.0,Goal,True,Bundesliga,3,27,"L,W,W,D,D",15,6,6,51,42,30,12,Union Berlin,0
Hertha,Schalke 04,2,False,True,3,1,home,Win,True,11.0,Goal,True,Bundesliga,18,27,"L,L,D,D,W",4,9,14,21,21,50,-29,Schalke 04,2
Werder Bremen,Hertha,1,True,False,1,0,home,Win,True,12.0,No Goal,False,Bundesliga,17,27,"L,D,L,D,L",5,7,15,22,31,50,-19,Hertha,2
Bayern Munich,Mainz,6,False,True,8,2,home,Win,True,12.0,Goal,True,Bundesliga,8,27,"D,W,D,D,W",11,8,8,41,45,38,7,Mainz,1
RB Leipzig,Leverkusen,2,True,False,2,0,home,Win,True,12.0,No Goal,False,Bundesliga,6,27,"W,W,W,W,W",13,4,10,43,51,41,10,Leverkusen,0
Stuttgart,Augsburg,2,False,True,3,1,home,Win,True,12.0,Goal,True,Bundesliga,13,27,"L,D,D,L,W",8,5,14,29,35,50,-15,Augsburg,1
Wolfsburg,Bochum,4,True,False,4,0,home,Win,True,12.0,No Goal,False,Bundesliga,15,27,"L,D,W,W,L",8,2,17,26,30,60,-30,Bochum,2
Ein Frankfurt,Dortmund,1,False,True,3,2,home,Loss,True,12.0,Goal,True,Bundesliga,2,27,"W,L,W,D,W",18,2,7,56,59,36,23,Dortmund,0
Union Berlin,M'gladbach,2,False,True,3,1,home,Win,True,12.0,Goal,True,Bundesliga,10,27,"W,D,D,L,D",9,8,10,35,42,44,-2,M'gladbach,1
Schalke 04,Freiburg,0,True,False,2,2,home,Loss,False,12.0,No Goal,True,Bundesliga,5,27,"L,D,D,W,D",13,8,6,47,39,36,3,Freiburg,0
FC Koln,Hoffenheim,1,False,True,2,1,home,Draw,True,12.0,Goal,True,Bundesliga,14,27,"W,W,W,L,L",8,4,15,28,37,46,-9,Hoffenheim,1
M'gladbach,Stuttgart,3,False,True,4,1,home,Win,True,13.0,Goal,True,Bundesliga,16,27,"W,L,L,D,L",5,8,14,23,32,47,-15,Stuttgart,2
Augsburg,Ein Frankfurt,1,False,True,3,2,home,Loss,True,13.0,Goal,True,Bundesliga,7,27,"L,D,L,D,D",11,8,8,41,48,40,8,Ein Frankfurt,0
Dortmund,Bochum,3,True,False,3,0,home,Win,True,13.0,No Goal,False,Bundesliga,15,27,"L,D,W,W,L",8,2,17,26,30,60,-30,Bochum,2
Hertha,Bayern Munich,2,False,True,5,3,home,Loss,True,13.0,Goal,True,Bundesliga,1,27,"W,W,L,W,W",17,7,3,58,77,29,48,Bayern Munich,0
Hoffenheim,RB Leipzig,1,False,True,4,3,home,Loss,True,13.0,Goal,True,Bundesliga,4,27,"W,L,L,W,L",14,6,7,48,50,33,17,RB Leipzig,0
Mainz,Wolfsburg,0,True,False,3,3,home,Loss,False,13.0,No Goal,True,Bundesliga,9,27,"L,D,W,D,D",10,9,8,39,46,36,10,Wolfsburg,1
Werder Bremen,Schalke 04,2,False,True,3,1,home,Win,True,13.0,Goal,True,Bundesliga,18,27,"L,L,D,D,W",4,9,14,21,21,50,-29,Schalke 04,2
Leverkusen,Union Berlin,5,True,False,5,0,home,Win,True,13.0,No Goal,False,Bundesliga,3,27,"L,W,W,D,D",15,6,6,51,42,30,12,Union Berlin,0
Freiburg,FC Koln,2,True,False,2,0,home,Win,True,13.0,No Goal,False,Bundesliga,12,27,"W,D,L,L,D",7,10,10,31,36,45,-9,FC Koln,1
Wolfsburg,Dortmund,2,True,False,2,0,home,Win,True,14.0,No Goal,False,Bundesliga,2,27,"W,L,W,D,W",18,2,7,56,59,36,23,Dortmund,0
Bayern Munich,Werder Bremen,6,False,True,7,1,home,Win,True,14.0,Goal,True,Bundesliga,11,27,"D,L,D,L,L",9,5,13,32,42,52,-10,Werder Bremen,1
Bochum,M'gladbach,2,False,True,3,1,home,Win,True,14.0,Goal,True,Bundesliga,10,27,"W,D,D,L,D",9,8,10,35,42,44,-2,M'gladbach,1
Stuttgart,Hertha,2,False,True,3,1,home,Win,True,14.0,Goal,True,Bundesliga,17,27,"L,D,L,D,L",5,7,15,22,31,50,-19,Hertha,2
FC Koln,Leverkusen,1,False,True,3,2,home,Loss,True,14.0,Goal,True,Bundesliga,6,27,"W,W,W,W,W",13,4,10,43,51,41,10,Leverkusen,0
Ein Frankfurt,Hoffenheim,4,False,True,6,2,home,Win,True,14.0,Goal,True,Bundesliga,14,27,"W,W,W,L,L",8,4,15,28,37,46,-9,Hoffenheim,1
RB Leipzig,Freiburg,3,False,True,4,1,home,Win,True,14.0,Goal,True,Bundesliga,5,27,"L,D,D,W,D",13,8,6,47,39,36,3,Freiburg,0
Schalke 04,Mainz,1,True,False,1,0,home,Win,True,14.0,No Goal,False,Bundesliga,8,27,"D,W,D,D,W",11,8,8,41,45,38,7,Mainz,1
