main_team,opponent_team,goal_fatti,no_goal,goal,tot_goals,goal_subiti,away_home,result,team_has_scored,giornata,goal_no_goal,team_has_conceded_goal,competition,position,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,team_short_name,team_group
Lazio,Napoli,1,False,True,3,2,home,Loss,True,5.0,Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Cremonese,Sassuolo,0,True,False,0,0,home,Draw,False,5.0,No Goal,False,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Spezia,Bologna,2,False,True,4,2,home,Draw,True,5.0,Goal,True,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Verona,Sampdoria,2,False,True,3,1,home,Win,True,5.0,Goal,True,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Udinese,Roma,4,True,False,4,0,home,Win,True,5.0,No Goal,False,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Monza,Atalanta,0,True,False,2,2,home,Loss,False,5.0,No Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Salernitana,Empoli,2,False,True,4,2,home,Draw,True,5.0,Goal,True,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Torino,Lecce,1,True,False,1,0,home,Win,True,5.0,No Goal,False,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Napoli,Spezia,1,True,False,1,0,home,Win,True,6.0,No Goal,False,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Inter,Torino,1,True,False,1,0,home,Win,True,6.0,No Goal,False,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Sampdoria,Milan,1,False,True,3,2,home,Loss,True,6.0,Goal,True,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Atalanta,Cremonese,1,False,True,2,1,home,Draw,True,6.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Bologna,Fiorentina,2,False,True,3,1,home,Win,True,6.0,Goal,True,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Lecce,Monza,1,False,True,2,1,home,Draw,True,6.0,Goal,True,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Sassuolo,Udinese,1,False,True,4,3,home,Loss,True,6.0,Goal,True,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Lazio,Verona,2,True,False,2,0,home,Win,True,6.0,No Goal,False,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Juventus,Salernitana,2,False,True,4,2,home,Draw,True,6.0,Goal,True,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Empoli,Roma,1,False,True,3,2,home,Loss,True,6.0,Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Salernitana,Lecce,1,False,True,3,2,home,Loss,True,7.0,Goal,True,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Bologna,Empoli,0,True,False,1,1,home,Loss,False,7.0,No Goal,True,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Spezia,Sampdoria,2,False,True,3,1,home,Win,True,7.0,Goal,True,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Torino,Sassuolo,0,True,False,1,1,home,Loss,False,7.0,No Goal,True,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Udinese,Inter,3,False,True,4,1,home,Win,True,7.0,Goal,True,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Cremonese,Lazio,0,True,False,4,4,home,Loss,False,7.0,No Goal,True,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Fiorentina,Verona,2,True,False,2,0,home,Win,True,7.0,No Goal,False,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Monza,Juventus,1,True,False,1,0,home,Win,True,7.0,No Goal,False,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Roma,Atalanta,0,True,False,1,1,home,Loss,False,7.0,No Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Milan,Napoli,1,False,True,3,2,home,Loss,True,7.0,Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Napoli,Torino,3,False,True,4,1,home,Win,True,8.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Inter,Roma,1,False,True,3,2,home,Loss,True,8.0,Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Empoli,Milan,1,False,True,4,3,home,Loss,True,8.0,Goal,True,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Lazio,Spezia,4,True,False,4,0,home,Win,True,8.0,No Goal,False,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Lecce,Cremonese,1,False,True,2,1,home,Draw,True,8.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
