n_matches,main_team,team_group,competition,no_goal,no_goal_streak_weighted,goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,goal_streak_weighted_ratio,no_goal_ratio,goal_ratio,curr_giornata,last_giornata
11,Celta,1,La Liga,7,140.0,67.0,207.0,0.6763285024154589,0.32367149758454106,0.6363636363636364,0.36363636363636365,30,30.0
8,Celta,2,La Liga,3,26.0,79.0,105.0,0.24761904761904763,0.7523809523809524,0.375,0.625,30,30.0
29,Celta,all,La Liga,14,222.0,223.0,445.0,0.49887640449438203,0.501123595505618,0.4827586206896552,0.5172413793103448,30,30.0
12,Elche,0,La Liga,9,116.0,50.0,166.0,0.6987951807228916,0.30120481927710846,0.75,0.25,30,30.0
11,Elche,1,La Liga,4,90.0,115.0,205.0,0.43902439024390244,0.5609756097560976,0.36363636363636365,0.6363636363636364,30,30.0
6,Elche,2,La Liga,2,35.0,39.0,74.0,0.47297297297297297,0.527027027027027,0.3333333333333333,0.6666666666666667,30,30.0
29,Elche,all,La Liga,15,241.0,204.0,445.0,0.5415730337078651,0.4584269662921348,0.5172413793103449,0.48275862068965514,30,30.0
11,Espanol,0,La Liga,3,36.0,144.0,180.0,0.2,0.8,0.2727272727272727,0.7272727272727273,30,30.0
12,Espanol,1,La Liga,3,21.0,159.0,180.0,0.11666666666666667,0.8833333333333333,0.25,0.75,30,30.0
6,Espanol,2,La Liga,1,23.0,62.0,85.0,0.27058823529411763,0.7294117647058823,0.16666666666666666,0.8333333333333334,30,30.0
29,Espanol,all,La Liga,7,80.0,365.0,445.0,0.1797752808988764,0.8202247191011236,0.2413793103448276,0.7586206896551724,30,30.0
12,Getafe,0,La Liga,8,136.0,60.0,196.0,0.6938775510204082,0.30612244897959184,0.6666666666666666,0.33333333333333337,30,30.0
10,Getafe,1,La Liga,4,57.0,83.0,140.0,0.40714285714285714,0.5928571428571429,0.4,0.6,30,30.0
7,Getafe,2,La Liga,4,62.0,47.0,109.0,0.5688073394495413,0.43119266055045874,0.5714285714285714,0.4285714285714286,30,30.0
29,Getafe,all,La Liga,16,255.0,190.0,445.0,0.5730337078651685,0.42696629213483145,0.5517241379310345,0.4482758620689655,30,30.0
10,Girona,0,La Liga,4,92.0,70.0,162.0,0.5679012345679012,0.43209876543209874,0.4,0.6,30,30.0
7,Girona,1,La Liga,1,3.0,79.0,82.0,0.036585365853658534,0.9634146341463414,0.14285714285714285,0.8571428571428572,30,30.0
12,Girona,2,La Liga,4,74.0,127.0,201.0,0.3681592039800995,0.6318407960199005,0.3333333333333333,0.6666666666666667,30,30.0
29,Girona,all,La Liga,9,169.0,276.0,445.0,0.3797752808988764,0.6202247191011236,0.3103448275862069,0.6896551724137931,30,30.0
11,Mallorca,0,La Liga,7,93.0,56.0,149.0,0.6241610738255033,0.37583892617449666,0.6363636363636364,0.36363636363636365,30,30.0
10,Mallorca,1,La Liga,8,143.0,33.0,176.0,0.8125,0.1875,0.8,0.19999999999999996,30,30.0
8,Mallorca,2,La Liga,4,65.0,55.0,120.0,0.5416666666666666,0.4583333333333333,0.5,0.5,30,30.0
29,Mallorca,all,La Liga,19,301.0,144.0,445.0,0.6764044943820224,0.3235955056179775,0.6551724137931034,0.3448275862068966,30,30.0
9,Osasuna,0,La Liga,7,112.0,21.0,133.0,0.8421052631578947,0.15789473684210525,0.7777777777777778,0.2222222222222222,30,30.0
11,Osasuna,1,La Liga,5,104.0,83.0,187.0,0.5561497326203209,0.44385026737967914,0.45454545454545453,0.5454545454545454,30,30.0
