main_team,team_group,competition,n_matches,avg_win,avg_draw,avg_loss,win_streak_weighted,draw_streak_weighted,loss_streak_weighted,tot_giornata,win_streak_weighted_ratio,draw_streak_weighted_ratio,loss_streak_weighted_ratio
Ath Bilbao,0,La Liga,8,0.125,0.125,0.75,12.0,15.0,104.0,131.0,0.0916030534351145,0.11450381679389313,0.7938931297709924
Ath Bilbao,1,La Liga,10,0.1,0.6,0.3,6.0,88.0,56.0,150.0,0.04,0.5866666666666667,0.37333333333333335
Ath Bilbao,2,La Liga,9,0.8888888888888888,0.0,0.1111111111111111,101.0,0.0,4.0,105.0,0.9619047619047619,0.0,0.0380952380952381
Ath Bilbao,all,La Liga,27,0.37037037037037035,0.25925925925925924,0.37037037037037035,119.0,103.0,164.0,386.0,0.3082901554404145,0.266839378238342,0.42487046632124353
Ath Madrid,0,La Liga,9,0.4444444444444444,0.2222222222222222,0.3333333333333333,71.0,28.0,24.0,123.0,0.5772357723577236,0.22764227642276422,0.1951219512195122
Ath Madrid,1,La Liga,11,0.7272727272727273,0.18181818181818182,0.09090909090909091,113.0,31.0,14.0,158.0,0.7151898734177216,0.1962025316455696,0.08860759493670886
Ath Madrid,2,La Liga,7,0.5714285714285714,0.2857142857142857,0.14285714285714285,63.0,30.0,12.0,105.0,0.6,0.2857142857142857,0.11428571428571428
Ath Madrid,all,La Liga,27,0.5925925925925926,0.2222222222222222,0.18518518518518517,247.0,89.0,50.0,386.0,0.6398963730569949,0.23056994818652848,0.12953367875647667
Augsburg,0,Bundesliga,10,0.3,0.2,0.5,28.0,25.0,72.0,125.0,0.224,0.2,0.576
Augsburg,1,Bundesliga,9,0.3333333333333333,0.2222222222222222,0.4444444444444444,46.0,35.0,48.0,129.0,0.35658914728682173,0.2713178294573643,0.37209302325581395
Augsburg,2,Bundesliga,7,0.2857142857142857,0.14285714285714285,0.5714285714285714,29.0,25.0,43.0,97.0,0.29896907216494845,0.25773195876288657,0.44329896907216493
Augsburg,all,Bundesliga,26,0.3076923076923077,0.19230769230769232,0.5,103.0,85.0,163.0,351.0,0.2934472934472934,0.24216524216524216,0.46438746438746437
Barcelona,0,La Liga,9,0.8888888888888888,0.0,0.1111111111111111,134.0,0.0,9.0,143.0,0.9370629370629371,0.0,0.06293706293706294
Barcelona,1,La Liga,8,0.875,0.125,0.0,91.0,1.0,0.0,92.0,0.9891304347826086,0.010869565217391304,0.0
Barcelona,2,La Liga,10,0.8,0.1,0.1,115.0,15.0,24.0,154.0,0.7467532467532467,0.09740259740259741,0.15584415584415584
Barcelona,all,La Liga,27,0.8518518518518519,0.07407407407407407,0.07407407407407407,340.0,16.0,33.0,389.0,0.8740359897172236,0.04113110539845758,0.08483290488431877
Bayern Munich,0,Bundesliga,10,0.5,0.4,0.1,67.0,48.0,25.0,140.0,0.4785714285714286,0.34285714285714286,0.17857142857142858
Bayern Munich,1,Bundesliga,11,0.6363636363636364,0.18181818181818182,0.18181818181818182,94.0,21.0,28.0,143.0,0.6573426573426573,0.14685314685314685,0.1958041958041958
Bayern Munich,2,Bundesliga,5,0.8,0.2,0.0,62.0,6.0,0.0,68.0,0.9117647058823529,0.08823529411764706,0.0
Bayern Munich,all,Bundesliga,26,0.6153846153846154,0.2692307692307692,0.11538461538461539,223.0,75.0,53.0,351.0,0.6353276353276354,0.21367521367521367,0.150997150997151
Betis,0,La Liga,9,0.2222222222222222,0.3333333333333333,0.4444444444444444,17.0,66.0,63.0,146.0,0.11643835616438356,0.4520547945205479,0.4315068493150685
Betis,1,La Liga,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,73.0,13.0,28.0,114.0,0.6403508771929824,0.11403508771929824,0.24561403508771928
